,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
0,2017,01_AUS,new_vehicle_efficiency,2w,pj_per_km,road,passenger,bev,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
1,2017,01_AUS,occupancy,2w,passengers,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
2,2017,01_AUS,stocks,2w,stocks,road,passenger,bev,all,yearly,national,['8th_edition_transport_model $ reference'],1,,,not enough values to interpolate,
3,2017,01_AUS,mileage,2w,km_per_year,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
4,2017,01_AUS,new_vehicle_efficiency,2w,pj_per_km,road,passenger,g,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
5,2017,01_AUS,occupancy,2w,passengers,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
6,2017,01_AUS,stocks,2w,stocks,road,passenger,g,all,yearly,national,['8th_edition_transport_model $ reference'],1,,,not enough values to interpolate,
7,2017,01_AUS,mileage,2w,km_per_year,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
8,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,bev,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
9,2017,01_AUS,occupancy,bus,passengers,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
10,2017,01_AUS,mileage,bus,km_per_year,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
11,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,cng,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
12,2017,01_AUS,occupancy,bus,passengers,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
13,2017,01_AUS,mileage,bus,km_per_year,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
14,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,d,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
15,2017,01_AUS,occupancy,bus,passengers,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
16,2017,01_AUS,stocks,bus,stocks,road,passenger,d,all,yearly,national,['8th_edition_transport_model $ reference'],1,,,not enough values to interpolate,
17,2017,01_AUS,mileage,bus,km_per_year,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
18,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,fcev,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
19,2017,01_AUS,occupancy,bus,passengers,road,passenger,fcev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
20,2017,01_AUS,mileage,bus,km_per_year,road,passenger,fcev,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
21,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,g,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
22,2017,01_AUS,occupancy,bus,passengers,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
23,2017,01_AUS,stocks,bus,stocks,road,passenger,g,all,yearly,national,['8th_edition_transport_model $ reference'],1,,,not enough values to interpolate,
24,2017,01_AUS,mileage,bus,km_per_year,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
25,2017,01_AUS,new_vehicle_efficiency,bus,pj_per_km,road,passenger,lpg,all,yearly,national,['avg_eff_no_outliers $ transport_data_system_9th'],1,,,not enough values to interpolate,
26,2017,01_AUS,occupancy,bus,passengers,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'occupancy $ guess']",2,,,not enough values to interpolate,
27,2017,01_AUS,stocks,bus,stocks,road,passenger,lpg,all,yearly,national,['8th_edition_transport_model $ reference'],1,,,not enough values to interpolate,
