Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Value,Dataset,Date,Frequency
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,109245.0,ITEM,1985-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,120543.0,ITEM,1986-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,162444.0,ITEM,1987-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,217006.0,ITEM,1988-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,227616.0,ITEM,1989-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,273139.0,ITEM,1990-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,300134.0,ITEM,1991-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,344443.0,ITEM,1992-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,451000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1000000.0,ITEM,1993-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,464337.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,78000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,66000000.0,ITEM,1993-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,1993-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,3131711.0,ITEM,1993-12-31,Yearly
